[1]| Escrito 20{{{br}}} Los Hijos de Dios del Paraíso
[2]| En cuanto a su labor en el suprauniverso de Orvontón, los Hijos de Dios se clasifican según los siguientes apartados generales:
[3]| 1. Hijos descendentes de Dios.
[4]| 2. Hijos ascendentes de Dios.
[5]| 3. Hijos trinitizados de Dios.
[6]| En los órdenes de filiación que descienden se incluyen los seres personales creados directamente por medios divinos. Los hijos que ascienden, tales como las criaturas mortales, adquieren esta condición participando de forma experiencial en el método creativo conocido como evolución. Los hijos trinitizados forman un grupo de origen compuesto que incluye a todos los seres acogidos por la Trinidad del Paraíso, aunque no hayan tenido su origen directamente en esta.
[7]| 1. LOS HIJOS DESCENDENTES DE DIOS
[8]| Todos los hijos descendentes de Dios tienen orígenes elevados y divinos. Descienden para dedicarse al ministerio de servir a los mundos y sistemas del tiempo y del espacio y facilitar allí el progreso, la subida al Paraíso, de las modestas criaturas de origen evolutivo, de los hijos ascendentes de Dios. De los numerosos órdenes de hijos descendentes, describiremos en estas narraciones a siete de ellos. A estos hijos, que provienen de las Deidades de la Isla central de luz y vida, se les llaman {i{i{Hijos de Dios del Paraíso}i}i} y comprenden los siguientes tres órdenes:
[9]| 1. Los hijos creadores: los migueles.
[10]| 2. Los hijos magistrados: los avonales.
[11]| 3. Los hijos preceptores de la Trinidad: los dainales.
[12]| Los restantes cuatro órdenes de filiación que descienden se conocen como los {i{i{Hijos de Dios de los universos locales:}i}i}
[13]| 4. Los hijos melquisedecs.
[14]| 5. Los hijos vorondadecs.
[15]| 6. Los hijos lanonandecs.
[16]| 7. Los portadores de vida.
[17]| Los melquisedecs son vástagos conjuntos del hijo creador de un universo local, del espíritu materno creativo y del padre Melquisedec. Tanto los vorondadecs como los lanonandecs deben su ser a un hijo creador y a su espíritu materno creativo acompañante. A los vorondadecs se les conoce mejor como los altísimos, los padres de las constelaciones; a los lanonandecs, como los soberanos de los sistemas y como los príncipes planetarios. El triple orden de los portadores de vida debe su ser a un hijo creador y un espíritu materno creativo en vinculación con uno de los tres ancianos de días del suprauniverso bajo su jurisdicción. Pero la naturaleza y actividad de estos Hijos de Dios de los universos locales se describen de forma más apropiada en los escritos que abordan asuntos relacionados con las creaciones locales.
[18]| Los Hijos de Dios del Paraíso tienen un triple origen: los hijos primarios o creadores deben su ser al Padre Universal y al Hijo Eterno; los hijos secundarios o hijos magistrados son hijos del Hijo Eterno y del Espíritu Infinito; los hijos preceptores de la Trinidad son vástagos del Padre, del Hijo y del Espíritu. Desde la perspectiva del servicio, la adoración y la súplica, los hijos del Paraíso son como uno; su espíritu es uno, y su trabajo es idéntico en cualidad y completitud.
