[1]| Escrito 78{{{br}}} La raza violeta después de los días de Adán
[2]| El segundo Edén fue la cuna de la civilización durante casi treinta mil años. Los pueblos adánicos continuaron aquí en Mesopotamia, enviando a sus descendientes hasta los confines de la tierra; los mismos que, más tarde, al mezclarse con las tribus noditas y sangiks se llegarían a conocer como “anditas”. De esta región, salieron esos hombres y mujeres que propiciaron los logros de los tiempos históricos y que aceleraron tan enormemente el progreso cultural de Urantia.
[3]| Este escrito narra la historia planetaria de la raza violeta, comenzando poco después de la transgresión de Adán, hacia el año 35 000 a. C., pasando por su unión con las razas noditas y sangiks, sobre el año 15 000 a. C., para formar los pueblos anditas, hasta su desaparición final de las tierras natales mesopotámicas, alrededor del año 2000 a. C.
[4]| 1. DISTRIBUCIÓN RACIAL Y CULTURAL
[5]| Aunque las mentes y la moral de las razas estaban en un deficiente nivel en el momento de la llegada de Adán, la evolución física no se había visto demasiado afectada por las vicisitudes de la rebelión de Caligastia. Y la contribución de Adán a las condiciones biológicas de las razas, a pesar del fracaso parcial de su misión, mejoró enormemente a los pueblos de Urantia.
[6]| Igualmente, Adán y Eva contribuyeron de forma notable a todo aquello de valor para el progreso social, moral e intelectual de la humanidad; la presencia de su progenie aceleró sumamente la civilización. Si bien, hace treinta y cinco mil años, el mundo en su conjunto estaba poco culturizado. Había aquí y allí algunos centros de civilización, pero la mayor parte de Urantia languidecía en el salvajismo. La distribución racial y cultural era la siguiente:
[7]| 1. {i{i{La raza violeta: adanitas y adanecitas}i}i}. El centro principal de la cultura adanita estaba en el segundo jardín, localizado en el triángulo de los ríos Tigris y Éufrates, de hecho la cuna de las civilizaciones occidental e india. El centro secundario o septentrional de la raza violeta era la sede adanecita, situada al este de la costa meridional del Mar Caspio, cerca de los montes Kopet. De estos dos centros, se expandieron, a las tierras circundantes, la cultura y el plasma vital que, de forma tan inmediata, vivificaron a todas las razas.
[8]| 2. {i{i{Los presumerios y otros noditas}i}i}. También estaban presentes en Mesopotamia, cerca de la desembocadura de los ríos, los restos de la ancestral cultura de los días de Dalamatia. Con el paso de los milenios, este grupo se llegaría a mezclar por completo con los adanitas del norte, pero nunca perdieron del todo sus tradiciones noditas. Varios otros grupos noditas, que se habían establecido en el Levante, fueron, por lo general, absorbidos racialmente por la raza violeta al expandirse después.
[9]| 3. {i{i{Los andonitas}i}i} mantenían cinco o seis asentamientos bastante representativos al norte y al este de la sede de Adánez. También estaban dispersos por todo el Turquestán, en tanto que persistían comunidades aisladas por toda Eurasia, especialmente en las regiones montañosas. Estos aborígenes seguían ocupando las tierras del norte del continente eurasiático, junto con Islandia y Groenlandia, pero hacía mucho tiempo que habían sido expulsados de las llanuras europeas por el hombre azul y de los valles fluviales de la más distante Asia por la raza amarilla en su expansión.
[10]| 4. {i{i{El hombre rojo}i}i} ocupaba las Américas, al haber sido expulsado de Asia más de cincuenta mil años antes de la llegada de Adán.
[11]| 5. {i{i{La raza amarilla}i}i}. Los pueblos chinos habían consolidado bien sus dominios en Asia oriental. Sus asentamientos más avanzados estaban situados al noroeste de la China moderna en regiones fronterizas con el Tíbet.
